Gene.Name,Expressionb,Expression,Expression.1,Expression.2,Expression.3,Expression.4,Expression.5,Expression.6,Expression.7,Expression.8,Expression.9,Expression.10,Expression.11,Expression.12,Expression.13,Expression.14,Expression.15,Expression.16,Expression.17,Expression.18,Expression.19,Expression.20,Expression.21,Expression.22,Expression.23,Expression.24,Expression.25,Expression.26,Expression.27,Expression.28,Expression.29,Expression.30,Expression.31,Expression.32,Expression.33,Expression.34,Expression.35,Expression.36,Expression.37,Expression.38
Map2k1,0.07504736,0.05939687,-0.11880166,-0.0375618,0.180894075,0.06917229,-0.169852545,0.15477202,0.092836085,-0.01925532,0.15725816,-0.11466191,0.01611652,0.146975355,0.06088279,-0.02634716,0.157936945,0.05267091,-0.02503785,-0.051168035,0.13311033,0.12318714,-0.09837647,0.232525425,0.05478588,-0.07634539,0.09712685,0.059609995,0.016447435,0.14587152,0.06403263,0.116485575,0.066012735,-0.0173171,-0.16065479,0.11665137,-0.01433336,-0.182592115,-0.16845418,0.221230425
Pik3r3,1.07187258,1.083183465,0.89728541,0.564067555,0.84209983,0.89205301,0.563518535,1.053722305,0.73283059,0.95621,0.699416295,0.834973245,0.912421355,1.09645374,1.00478909,0.74343163,0.96753128,0.963389835,0.80830471,0.58570956,0.97075235,0.96640882,0.676049685,1.05780748,1.07782847,0.80074662,0.905786645,1.002299855,0.725889175,0.904747845,0.992952865,1.04522453,0.783402775,0.74569409,0.63674283,0.85179807,0.932661775,0.607952295,0.739199255,1.07574441
Ptk2,-0.27766832,-0.329035185,-0.214750785,-0.3325912,-0.266328585,-0.212769775,-0.479574175,-0.36531455,-0.3099677,-0.305487575,-0.30682185,-0.34419915,-0.254722643,-0.301572068,-0.278376425,-0.206266715,-0.301288325,-0.282237523,-0.259994925,-0.169199248,-0.306284225,-0.24850048,-0.316779683,-0.309338025,-0.263027993,-0.326393998,-0.208073323,-0.189788898,-0.29405655,-0.263531113,-0.220974738,-0.324109175,-0.24369675,-0.34179285,-0.255069825,-0.140498165,-0.33157165,-0.3429592,-0.4313663,-0.431587753
Nras,-0.3533591,-0.1106147,-0.33274019,-0.39258856,-0.29415734,-0.37268935,-0.42555903,-0.266604075,-0.39092957,-0.242527095,-0.07439791,-0.442427465,-0.29858413,-0.175503705,-0.329067445,-0.28496026,-0.282630865,-0.30731167,-0.29316157,-0.4768891,-0.285630865,-0.3973552,-0.42766675,-0.17748535,-0.267785645,-0.251312185,-0.3286463,-0.362971355,-0.13113126,-0.402890185,-0.283052325,-0.249307745,-0.24751536,-0.345533185,-0.2846779,-0.24288709,-0.14881191,-0.114190025,-0.34390028,-0.370486085
Nos3,-1.7585379,-1.8195916,-1.7660842,-1.7744578,-1.8555563,-2.148216,-1.6466469,-1.8618449,-2.0937578,-1.6408485,-2.1358327,-1.9782051,-2.0665808,-1.7358769,-1.8087101,-1.8250589,-1.7492661,-1.745788,-2.152497,-2.4260338,-2.0824851,-1.5590092,-1.904786,-2.0718778,-1.9337328,-1.242531,-2.0825024,-2.1325936,-1.9659341,-1.7720912,-1.9943774,-1.7265943,-2.1342097,-1.7709969,-1.7784725,-1.9871981,-1.7557226,-1.8075961,-1.3028495,-2.0818093
Pik3r1,-0.86064995,-1.0192651,-0.9523624,-1.09880755,-1.21496655,-0.9544442,-0.78869945,-0.9155854,-1.0874042,-0.95889865,-0.9205916,-1.01576075,-0.9656143,-0.9086048,-0.8108884,-0.75642745,-1.07294275,-1.0170674,-1.0047115,-0.7706102,-1.0360453,-1.44739745,-0.88878585,-0.85689865,-0.91547915,-1.1751789,-0.69260085,-0.8399709,-1.0333173,-1.0349923,-1.059641,-1.15112455,-1.07642425,-1.02452935,-1.18627735,-1.05765575,-1.06602575,-1.0396424,-1.02374155,-0.9174114
Pik3ca,0.233403985,0.244389863,0.16910147,0.211951125,0.07849725,0.17403171,0.100819245,0.186563883,0.179184235,0.07108256,0.00311729,0.159965785,0.284874535,0.176243855,0.173850265,0.060585133,-0.013477055,0.10808815,0.155912825,0.116825733,0.111910893,0.056624628,0.188253618,0.189305203,0.239047668,0.040190155,0.125277098,0.139727278,0.103567148,0.069652268,0.071969685,-0.002242175,0.118086085,0.066326608,0.018229088,0.198928918,0.12618474,0.170292758,0.092014688,0.239291398
Ppp3cb,-0.70687079,-0.814078927,-0.798368617,-0.906610807,-0.818367983,-0.898163407,-0.852994647,-0.915856023,-0.714111997,-0.80796695,-0.87845265,-0.845300753,-0.940976073,-0.875707003,-0.74572078,-0.945831387,-0.72095472,-0.806738947,-0.809155853,-0.81910993,-0.660170203,-0.769606097,-0.879502123,-0.820607507,-0.779505647,-0.6077798,-0.984161273,-0.89670019,-0.971122773,-0.766565853,-0.884504313,-0.690807823,-0.919890747,-0.907242737,-0.75689746,-0.929244557,-0.827403197,-0.918817137,-0.895891733,-0.74839583
Map2k2,-0.06454153,0.00369766,-0.146140595,-0.3673543,-0.3103505,-0.14826968,-0.20284316,-0.128526755,-0.3125217,-0.04614655,-0.074460445,-0.258251195,0.03837389,-0.039496215,-0.2060121,-0.09996698,-0.1654711,-0.13069566,-0.07337853,-0.085025965,-0.140595395,-0.09542689,-0.247065785,0.19108412,-0.119637345,-0.21794446,-0.09365418,-0.003681175,0.154885235,-0.22955441,-0.223267385,-0.22099345,-0.06275086,-0.159685605,0.04962801,-0.084711585,-0.016659415,-0.131294665,-0.3368789,0.015809805
Nfatc4,1.48649963,1.47898721,1.39358346,1.52686026,1.5159636,1.45056346,1.30859912,1.54583236,1.46228599,1.37169391,1.41347847,1.51956231,1.4730023,1.48761958,1.55162247,1.32056186,1.39870464,1.48238537,1.48143289,1.16601464,1.50328425,1.22903311,1.5268935,1.39764264,1.48741417,1.49140814,1.47236419,1.51623791,1.56766692,1.41552238,1.54601667,1.48768795,1.57690089,1.49762695,1.306852,1.57916984,1.5951527,1.39921432,1.4774221,1.4663949
Mapk13,1.2444634,1.00191113,1.51071959,1.29370987,1.2147584,0.7560973,2.03055663,1.10972146,1.12442844,1.41072946,1.1251266,1.2436624,0.75907557,0.72993276,0.80496786,1.20260301,1.40768476,1.27709511,0.8979799,1.46327799,1.2198264,1.46915697,1.11950573,1.15126795,1.05948717,1.75214245,0.73166938,1.06790322,0.89884672,0.33808741,0.65803962,1.32455447,0.72894035,1.53311353,1.67890718,0.63112978,1.3872589,0.79911289,1.57255717,0.88885258
Rac1,-0.401415,-0.4338608,-0.3724473,-0.5727921,-0.5134271,-0.5024528,-0.7747575,-0.3250561,-0.3178094,-0.595347,-0.3630758,-0.5035918,-0.4213215,-0.4678934,-0.6334329,-0.4206363,-0.6297241,-0.4916068,-0.2945502,-0.4315541,-0.3952492,-0.5484996,-0.6911216,-0.2332503,-0.3375698,-0.5611925,-0.1922288,-0.1901969,-0.4111841,-0.3743661,-0.0277292,-0.6094046,-0.5308828,-0.6816859,-0.1209269,-0.3614816,-0.5001802,-0.7648221,-0.6125426,-0.5427014
Nfat5,1.68922883,1.930551865,1.678847595,1.48002151,1.570643995,1.61456132,1.28930136,1.70698994,1.730548895,1.616255315,1.59669946,1.60503118,1.50905888,1.790957175,1.821370295,1.59178471,1.57107051,1.712183915,1.620684635,1.633695145,1.57716681,1.614094215,1.33776,1.713330345,1.817328175,1.426294415,1.324955775,1.88693909,1.63443022,1.72834421,1.694951055,1.720190575,1.52060082,1.656560445,1.587724,1.676343125,1.511858845,1.47909886,1.4813859,1.782712165
